Country,year,broad_money,decade,annual change,world_money,gap_world,gap_world_pct
CHL,2016,83.17859953,2010,-1.182897650000001,121.6668651,-38.488265569999996,-31.634139285470912
CHL,2017,78.71995953,2010,-4.458640000000003,119.9613444,-41.241384870000005,-34.3788951985103
CHL,2018,77.62836625,2010,-1.091593279999998,120.2048697,-42.576503450000004,-35.41994892241874
CHL,2019,84.34607266,2010,6.717706410000005,122.2835326,-37.93745994,-31.02417728157781
CHL,2020,93.45780567,2020,9.111733009999995,140.0833201,-46.62551443000001,-33.28413004254602
CHL,2021,93.68122909,2020,0.22342342000000315,139.9156172,-46.23438811000001,-33.04447997674988
CHL,2022,88.58149381,2020,-5.099735280000004,136.9038372,-48.32234339,-35.29655879506641
CHL,2023,84.7276077,2020,-3.853886110000005,135.5653641,-50.83775640000002,-37.50054944897243
CHL,2024,75.30109621,2020,-9.426511489999996,136.1055622,-60.80446599000001,-44.67449015834564
CHL,2025,75.30109621,2020,0.0,136.1055622,-60.80446599000001,-44.67449015834564
COL,1976,26.9615045,1970,,61.83287432,-34.87136982,-56.39616499070102
COL,1977,27.09666787,1970,0.13516337000000078,62.12656097,-35.029893099999995,-56.384729096650645
COL,1978,27.02171664,1970,-0.07495122999999992,65.39267936,-38.37096272,-58.677764996843216
COL,1979,25.82029025,1970,-1.2014263900000017,64.11446166,-38.294171410000004,-59.727821802629485
COL,1980,28.79579262,1980,2.975502370000001,62.94883596,-34.153043339999996,-54.25524208533752
COL,1981,31.71815432,1980,2.9223616999999997,64.65567791,-32.93752359,-50.942971529660056
COL,1982,31.61340777,1980,-0.10474655000000155,67.39981766,-35.78640989,-53.095707277021745
COL,1983,33.37463251,1980,1.7612247399999994,70.78738012,-37.41274761,-52.85228461143393
COL,1984,32.62114866,1980,-0.753483849999995,73.1733284,-40.55217974,-55.41934558220807
COL,1985,31.26952447,1980,-1.3516241900000026,74.66205194,-43.39252747,-58.11858413008947
COL,1986,31.26952447,1980,0.0,82.6959625,-51.42643802999999,-62.18736256924272
COL,1987,26.77753567,1980,-4.4919888000000014,87.37848082,-60.600945149999994,-69.35454196650338
COL,1988,23.10113893,1980,-3.6763967399999977,91.01066932,-67.90953039,-74.61710906797668
COL,1989,23.10113893,1980,0.0,92.20289031,-69.10175138,-74.94532020381303
COL,1990,24.11663869,1990,1.0154997599999973,86.94825158,-62.83161289,-72.26322754999785
COL,1991,24.72969354,1990,0.613054850000001,88.3276964,-63.598002859999994,-72.00233386817953
COL,1992,26.93983743,1990,2.210143890000001,86.93232118,-59.992483750000005,-69.01056239575266
COL,1993,28.46435723,1990,1.5245198000000002,90.52539451,-62.061037279999994,-68.55649468961369
COL,1994,32.10822014,1990,3.6438629099999993,90.31074809,-58.202527950000004,-64.44695585070089
COL,1995,32.92964638,1990,0.821426240000001,91.48657165,-58.55692527,-64.00603303184332
COL,1996,33.41472135,1990,0.48507496999999944,88.696028,-55.28130665,-62.326699285789886
COL,1997,34.25344863,1990,0.8387272800000005,89.15721512,-54.90376649,-61.58084504557818
COL,1998,33.04601338,1990,-1.2074352500000032,91.89188709,-58.84587371,-64.03816003078232
COL,1999,34.27402634,1990,1.228012960000001,98.57277603,-64.29874969,-65.2297239457181
COL,2000,25.82000057,2000,-8.454025769999998,98.65619483,-72.83619426,-73.82830281008518
COL,2001,28.50914711,2000,2.6891465399999994,95.42573014,-66.91658303,-70.12425572413859
COL,2002,27.45559255,2000,-1.053554560000002,96.23554479,-68.77995224,-71.47042435317209
COL,2003,27.33453943,2000,-0.12105311999999913,97.0956432,-69.76110377,-71.8478208402249
COL,2004,28.85464606,2000,1.5201066300000008,95.91436236,-67.05971629999999,-69.91624053997411
COL,2005,30.90999648,2000,2.05535042,95.29212519,-64.38212870999999,-67.56290572975519
COL,2006,32.28830142,2000,1.3783049400000031,96.10562116,-63.817319739999995,-66.40331644467985
COL,2007,33.75519653,2000,1.4668951099999958,96.41543203,-62.660235500000006,-64.98984050655196
COL,2008,35.9614943,2000,2.206297769999999,100.0025134,-64.0410191,-64.03940953348078
COL,2009,36.92013333,2000,0.9586390300000005,111.0087715,-74.08863817,-66.74124681219448
COL,2010,37.93686251,2010,1.0167291799999987,107.9480905,-70.01122799000001,-64.85638390240909
