country,year,Broad money (% of GDP),Domestic credit to private sector (% of GDP),"GDP per capita, PPP (constant 2021 international $)",Gross capital formation (% of GDP),"Inflation, GDP deflator (annual %)",world_broad_money,broad_money_gap_world,broad_money_gap_world_pct,broad_money_percentile
CHL,1985,37.64908563,75.30109621,102.084209,16.84000472,41.85818955,74.66205194,-37.012966309999996,-49.574000912464065,0.38
CHL,1986,36.6078653,75.30109621,102.084209,18.57287383,21.86994435,82.6959625,-46.08809719999999,-55.731979901679,0.32
CHL,1987,35.93755771,75.30109621,102.084209,22.00385354,25.52401652,87.37848082,-51.44092310999999,-58.871386441209125,0.26
CHL,1988,36.00306973,75.30109621,102.084209,23.03060462,20.40988841,91.01066932,-55.007599590000005,-60.440825236203196,0.28
CHL,1989,37.80707592,75.30109621,102.084209,25.65929464,13.35648749,92.20289031,-54.39581439,-58.995780074912055,0.4
CHL,1990,36.99722775,75.30109621,10955.24865,25.72326538,22.55369983,86.94825158,-49.951023830000004,-57.44914121020672,0.34
CHL,1991,35.84650329,75.30109621,11610.27833,23.34167628,21.61728382,88.3276964,-52.48119310999999,-59.41646306763639,0.22
CHL,1992,35.73828515,75.30109621,12738.61632,24.86355747,13.41683218,86.93232118,-51.19403603,-58.88953076957285,0.2
CHL,1993,37.21625341,75.30109621,13380.47222,27.78129126,12.09738027,90.52539451,-53.3091411,-58.88860400836048,0.36
CHL,1994,34.75488304,75.30109621,13849.6261,25.53433688,13.80059455,90.31074809,-55.55586505,-61.51633800512349,0.16
CHL,1995,35.61525123,75.30109621,14911.56407,27.52926225,11.06416244,91.48657165,-55.87132042,-61.070514953546194,0.18
CHL,1996,38.67438823,75.30109621,15748.46536,29.88121344,3.248659464,88.696028,-50.02163977,-56.39670783228309,0.42
CHL,1997,43.3789624,75.30109621,16687.85559,29.85926633,3.330580503,89.15721512,-45.778252720000005,-51.34553906645173,0.44
CHL,1998,46.80886019,75.30109621,17161.03356,28.61868509,0.778990207,91.89188709,-45.0830269,-49.06094360195819,0.46
CHL,1999,51.89663939,75.30109621,16900.1244,22.55047421,2.187767871,98.57277603,-46.67613664,-47.35195509335602,0.5
CHL,2000,51.58184379,75.30109621,17529.4206,23.75075659,4.560043487,98.65619483,-47.07435104,-47.71555513682283,0.48
CHL,2001,87.55772448,73.08169596,17874.53139,24.09121495,4.277146982,95.42573014,-7.868005659999994,-8.245161602071862,0.94
CHL,2002,87.08870656,74.34609828,18244.51968,24.10838935,3.340660372,96.23554479,-9.14683823,-9.504635994901609,0.92
CHL,2003,79.32358782,75.83206214,18907.34587,23.39913738,4.300300884,97.0956432,-17.772055379999998,-18.303658943164606,0.76
CHL,2004,76.11741803,76.74998578,19966.70931,21.2432281,7.024761707,95.91436236,-19.796944330000002,-20.640229307572497,0.66
CHL,2005,74.65289539,77.63456541,20923.47976,23.2677017,7.120315352,95.29212519,-20.639229799999995,-21.658903879883127,0.56
CHL,2006,74.67754258,78.11332337,21973.73829,22.18632046,12.34989592,96.10562116,-21.428078580000005,-22.296384250329947,0.58
CHL,2007,80.24159765,84.07524732,22884.29971,22.34802283,5.088757067,96.41543203,-16.173834380000002,-16.775151072255174,0.78
CHL,2008,77.25443467,100.1725681,23515.34732,28.89694243,0.311132499,100.0025134,-22.748078730000003,-22.74750699415921,0.68
CHL,2009,71.88560249,102.6870759,23019.02995,22.92000729,3.577795042,111.0087715,-39.12316901,-35.24331319169674,0.54
CHL,2010,67.19858831,99.47559066,24122.47879,24.77546713,8.857441489,107.9480905,-40.74950219,-37.749164437512675,0.52
CHL,2011,75.27888297,101.8634854,25372.27415,26.64629736,3.260514866,109.1949223,-33.916039330000004,-31.06008834075612,0.6
CHL,2012,77.62592392,104.2666865,26676.81102,28.7913494,0.763466681,111.5060523,-33.88012837999999,-30.384116091606977,0.7
CHL,2013,82.10723828,104.1493446,27297.81851,27.49695956,2.260770609,112.095354,-29.988115719999996,-26.752327058978732,0.8
CHL,2014,82.86319815,107.2940277,27511.561,25.15809358,5.852891626,114.5310446,-31.66784645,-27.65001101718756,0.82
CHL,2015,84.36149718,108.6831579,27817.95848,25.59943821,4.95436553,117.7380764,-33.376579219999996,-28.348160799406436,0.88
CHL,2016,83.17859953,109.6589862,27965.34735,23.70878973,4.560656037,121.6668651,-38.488265569999996,-31.634139285470912,0.84
CHL,2017,78.71995953,111.8597311,27899.59798,22.63666974,4.828191886,119.9613444,-41.241384870000005,-34.3788951985103,0.74
CHL,2018,77.62836625,116.0982746,28499.4064,24.20307868,1.590199737,120.2048697,-42.576503450000004,-35.41994892241874,0.72
CHL,2019,84.34607266,123.2387298,28227.97905,24.94531502,2.566359255,122.2835326,-37.93745994,-31.02417728157781,0.86
CHL,2020,93.45780567,123.5325706,26258.40386,21.07732858,9.678663681,140.0833201,-46.62551443000001,-33.28413004254602,0.98
CHL,2021,93.68122909,109.2588461,29106.63565,24.1498842,6.883001727,139.9156172,-46.23438811000001,-33.04447997674988,1.0
CHL,2022,88.58149381,112.6695848,29560.45138,25.76704006,7.547519855,136.9038372,-48.32234339,-35.29655879506641,0.96
CHL,2023,84.7276077,109.5050875,29600.41886,23.33312782,6.55832071,135.5653641,-50.83775640000002,-37.50054944897243,0.9
CHL,2024,75.30109621,104.5678163,30267.64409,23.11926696,7.127812653,136.1055622,-60.80446599000001,-44.67449015834564,0.63
CHL,2025,75.30109621,102.084209,30863.42232,24.05703861,6.803213574,136.1055622,-60.80446599000001,-44.67449015834564,0.63
COL,1976,26.9615045,28.59488605,39.85652811,17.56270314,25.45755816,61.83287432,-34.87136982,-56.39616499070102,0.18
COL,1977,27.09666787,27.36132196,39.85652811,18.75203379,29.15281707,62.12656097,-35.029893099999995,-56.384729096650645,0.22
COL,1978,27.02171664,27.80809401,39.85652811,18.28426355,17.09993136,65.39267936,-38.37096272,-58.677764996843216,0.2
COL,1979,25.82029025,27.19737352,39.85652811,18.15098539,24.04062554,64.11446166,-38.294171410000004,-59.727821802629485,0.12
COL,1980,28.79579262,30.46462293,39.85652811,19.06853774,27.61593603,62.94883596,-34.153043339999996,-54.25524208533752,0.32
COL,1981,31.71815432,32.82226458,39.85652811,20.62399478,22.7658773,64.65567791,-32.93752359,-50.942971529660056,0.44
COL,1982,31.61340777,34.17445575,39.85652811,20.4871425,24.76645731,67.39981766,-35.78640989,-53.095707277021745,0.42
COL,1983,33.37463251,36.73227494,39.85652811,19.8932137,20.4025757,70.78738012,-37.41274761,-52.85228461143393,0.56
COL,1984,32.62114866,37.32248539,39.85652811,18.96497004,22.1802267,73.1733284,-40.55217974,-55.41934558220807,0.5
COL,1985,31.26952447,35.62752083,39.85652811,19.0409037,24.88350804,74.66205194,-43.39252747,-58.11858413008947,0.39
COL,1986,31.26952447,35.62752083,39.85652811,18.00116265,29.16892637,82.6959625,-51.42643802999999,-62.18736256924272,0.39
COL,1987,26.77753567,25.48998188,39.85652811,19.99748878,23.37693652,87.37848082,-60.600945149999994,-69.35454196650338,0.14
COL,1988,23.10113893,23.22072451,39.85652811,21.98974065,27.75005625,91.01066932,-67.90953039,-74.61710906797668,0.03
COL,1989,23.10113893,23.22072451,39.85652811,19.97575416,24.68581614,92.20289031,-69.10175138,-74.94532020381303,0.03
COL,1990,24.11663869,25.91059165,9998.810697,20.60673055,52.33610317,86.94825158,-62.83161289,-72.26322754999785,0.06
COL,1991,24.72969354,23.40430918,9996.09786,19.10546385,27.00577404,88.3276964,-63.598002859999994,-72.00233386817953,0.08
COL,1992,26.93983743,25.24216003,10196.43297,20.55450146,22.66438495,86.93232118,-59.992483750000005,-69.01056239575266,0.16
COL,1993,28.46435723,28.67135265,10533.11496,24.94213311,24.84157828,90.52539451,-62.061037279999994,-68.55649468961369,0.28
COL,1994,32.10822014,31.07361273,10927.93895,25.53844675,22.09637826,90.31074809,-58.202527950000004,-64.44695585070089,0.46
COL,1995,32.92964638,33.66342958,11279.00046,25.79874333,18.85095726,91.48657165,-58.55692527,-64.00603303184332,0.52
COL,1996,33.41472135,35.32348263,11303.13089,22.15093866,16.86837879,88.696028,-55.28130665,-62.326699285789886,0.58
COL,1997,34.25344863,36.47584514,11483.50501,20.92375062,16.83985293,89.15721512,-54.90376649,-61.58084504557818,0.62
COL,1998,33.04601338,35.21855052,11343.87991,19.72807918,14.77304541,91.89188709,-58.84587371,-64.03816003078232,0.54
COL,1999,34.27402634,31.65418344,10679.70927,12.88013417,12.62294083,98.57277603,-64.29874969,-65.2297239457181,0.64
COL,2000,25.82000057,20.94747439,10813.49423,14.89562703,33.67537051,98.65619483,-72.83619426,-73.82830281008518,0.1
COL,2001,28.50914711,21.9066126,10823.45049,16.03225135,6.518448292,95.42573014,-66.91658303,-70.12425572413859,0.3
COL,2002,27.45559255,21.52330896,10925.14856,17.25154184,5.968190572,96.23554479,-68.77995224,-71.47042435317209,0.26
COL,2003,27.33453943,21.07623501,11183.29118,18.68181902,6.829014842,97.0956432,-69.76110377,-71.8478208402249,0.24
COL,2004,28.85464606,22.19913866,11607.93849,19.44099661,7.283033407,95.91436236,-67.05971629999999,-69.91624053997411,0.34
COL,2005,30.90999648,22.75271861,11999.25496,21.65624131,4.753196108,95.29212519,-64.38212870999999,-67.56290572975519,0.36
COL,2006,32.28830142,27.3293272,12636.62466,22.9389629,5.807660873,96.10562116,-63.817319739999995,-66.40331644467985,0.48
COL,2007,33.75519653,30.56656822,13318.30331,23.45428069,5.202033812,96.41543203,-62.660235500000006,-64.98984050655196,0.6
COL,2008,35.9614943,31.34288213,13591.0609,23.72092145,7.677382915,100.0025134,-64.0410191,-64.03940953348078,0.66
COL,2009,36.92013333,30.05884981,13586.75184,21.98758309,4.064225467,111.0087715,-74.08863817,-66.74124681219448,0.72
COL,2010,37.93686251,32.35295864,14037.06427,21.88876227,3.804860291,107.9480905,-70.01122799000001,-64.85638390240909,0.74
COL,2011,39.65247156,34.95997389,14852.36995,22.99559144,6.386803373,109.1949223,-69.54245073999999,-63.68652431377754,0.76
COL,2012,42.74628079,37.74485153,15279.479,22.10464406,3.616655063,111.5060523,-68.75977151,-61.66460931197364,0.84
