country,series,year,value,decade,change,annual_change,pct_change,rolling_5y,rolling_std_5y
BRA,Gross capital formation (% of GDP),2009,18.79613503,2000,-2.8232478200000024,-2.8232478200000024,-13.058873324869225,19.051240238,1.7452845181534877
BRA,Gross capital formation (% of GDP),2010,21.80132156,2010,3.005186530000003,3.005186530000003,15.988321669340566,19.970527859999997,1.740153543974824
BRA,Gross capital formation (% of GDP),2011,21.82627112,2010,0.024949559999999593,0.024949559999999593,0.11444058531651091,20.772487308000002,1.387504697607529
BRA,Gross capital formation (% of GDP),2012,21.41722537,2010,-0.40904575000000065,-0.40904575000000065,-1.8740981808165191,21.092067186,1.2939466085214024
BRA,Gross capital formation (% of GDP),2013,21.69376696,2010,0.2765415900000008,0.2765415900000008,1.2912110939793608,21.106944008,1.3019279465646274
BRA,Gross capital formation (% of GDP),2014,20.54841076,2010,-1.145356200000002,-1.145356200000002,-5.279655682260554,21.457399154,0.5334071432101726
BRA,Gross capital formation (% of GDP),2015,17.41162587,2010,-3.1367848899999977,-3.1367848899999977,-15.26534059804826,20.579460016000002,1.8394432524359736
BRA,Gross capital formation (% of GDP),2016,14.96954697,2010,-2.442078900000002,-2.442078900000002,-14.02556497729297,19.208115186000004,2.9175271702468155
BRA,Gross capital formation (% of GDP),2017,14.6255876,2010,-0.3439593700000003,-0.3439593700000003,-2.297727317261633,17.849787631999998,3.1992960830522494
BRA,Gross capital formation (% of GDP),2018,15.09504163,2010,0.4694540300000014,0.4694540300000014,3.2098131223117665,16.530042566,2.5022887010405452
BRA,Gross capital formation (% of GDP),2019,15.5167908,2010,0.42174917,0.42174917,2.793958309871858,15.523718574,1.1024689664337368
BRA,Gross capital formation (% of GDP),2020,16.1158206,2020,0.5990297999999985,0.5990297999999985,3.8605263660575817,15.26455752,0.5727826549288102
BRA,Gross capital formation (% of GDP),2021,19.52188502,2020,3.40606442,3.40606442,21.13491149187898,16.17502513,1.9497031666704179
BRA,Gross capital formation (% of GDP),2022,18.08822044,2020,-1.4336645799999985,-1.4336645799999985,-7.343883946305507,16.867551698,1.8752975864114785
BRA,Gross capital formation (% of GDP),2023,15.76064721,2020,-2.3275732300000005,-2.3275732300000005,-12.867895090734539,17.000672814,1.736505369785149
BRA,Gross capital formation (% of GDP),2024,16.9814356,2020,1.220788390000001,1.220788390000001,7.7458011319828435,17.293601774000003,1.5355154637830122
BRA,Gross capital formation (% of GDP),2025,17.07599652,2020,0.09456091999999927,0.09456091999999927,0.556848797871945,17.485636958,1.4059718126030358
BRA,"Inflation, GDP deflator (annual %)",1976,41.20362402,1970,,,,,
BRA,"Inflation, GDP deflator (annual %)",1977,45.39805621,1970,4.194432190000001,4.194432190000001,10.179765226388948,,
BRA,"Inflation, GDP deflator (annual %)",1978,38.22761123,1970,-7.170444979999999,-7.170444979999999,-15.794607916319858,41.609763820000005,3.602434240296389
BRA,"Inflation, GDP deflator (annual %)",1979,54.36596003,1970,16.138348799999996,16.138348799999996,42.216472023067595,44.7988128725,7.023661704608061
BRA,"Inflation, GDP deflator (annual %)",1980,92.14194461,1980,37.77598458,37.77598458,69.48462707023772,54.26743922000001,22.02891945485387
BRA,"Inflation, GDP deflator (annual %)",1981,100.5288771,1980,8.386932490000007,8.386932490000007,9.102187419094033,66.132489836,28.313660156971476
BRA,"Inflation, GDP deflator (annual %)",1982,101.0343947,1980,0.5055175999999904,0.5055175999999904,0.5028580986706332,77.259757534,29.050814098609326
BRA,"Inflation, GDP deflator (annual %)",1983,131.4840451,1980,30.44965040000001,30.44965040000001,30.137905502788165,95.91104430800002,27.62793705871514
BRA,"Inflation, GDP deflator (annual %)",1984,201.7402821,1980,70.256237,70.256237,53.433279259522884,125.385908722,45.230540034727774
BRA,"Inflation, GDP deflator (annual %)",1985,248.5436591,1980,46.80337700000001,46.80337700000001,23.19981736557708,156.66625162,65.86649010790687
BRA,"Inflation, GDP deflator (annual %)",1986,149.1793183,1980,-99.36434080000001,-99.36434080000001,-39.978626354744925,166.39633985999998,58.70445967575298
BRA,"Inflation, GDP deflator (annual %)",1987,206.2087087,1980,57.02939039999998,57.02939039999998,38.22875117669711,187.43120266,47.13111476447291
BRA,"Inflation, GDP deflator (annual %)",1988,627.9514702,1980,421.74276150000003,421.74276150000003,204.52228431999296,286.72468768,193.98286570800047
BRA,"Inflation, GDP deflator (annual %)",1989,1304.424209,1980,676.4727388,676.4727388,107.7269137668467,507.26147306,483.6902435256481
BRA,"Inflation, GDP deflator (annual %)",1990,2736.970678,1990,1432.5464690000001,1432.5464690000001,109.82213141369259,1004.94687684,1072.6182256962659
BRA,"Inflation, GDP deflator (annual %)",1991,416.6780939,1990,-2320.2925841,-2320.2925841,-84.77593869567937,1058.44663196,1024.8719871435064
BRA,"Inflation, GDP deflator (annual %)",1992,969.0129628,1990,552.3348689,552.3348689,132.55673311987374,1211.00748278,917.4373544619012
BRA,"Inflation, GDP deflator (annual %)",1993,1996.150247,1990,1027.1372842,1027.1372842,105.99830173912719,1484.6472381400001,904.0003408851873
BRA,"Inflation, GDP deflator (annual %)",1994,2240.168866,1990,244.01861899999994,244.01861899999994,12.224461528721786,1671.7961695400002,952.900236461451
BRA,"Inflation, GDP deflator (annual %)",1995,93.97804306,1990,-2146.19082294,-2146.19082294,-95.80486790588223,1143.1976425520002,947.3524602411177
BRA,"Inflation, GDP deflator (annual %)",1996,18.45624377,1990,-75.52179929,-75.52179929,-80.36111077752847,1063.553272526,1036.267722028915
BRA,"Inflation, GDP deflator (annual %)",1997,7.729023412,1990,-10.727220358,-10.727220358,-58.12244621214169,871.2964846484001,1141.9738152979885
BRA,"Inflation, GDP deflator (annual %)",1998,4.924361585,1990,-2.8046618270000003,-2.8046618270000003,-36.2874023986719,473.0513075654,988.5248280772288
BRA,"Inflation, GDP deflator (annual %)",1999,8.010500883,1990,3.086139298000001,3.086139298000001,62.67085072307908,26.619634542,38.005381395450065
BRA,"Inflation, GDP deflator (annual %)",2000,5.606065141,2000,-2.4044357420000004,-2.4044357420000004,-30.016047399766578,8.9452389582,5.480183954122029
